key,value,timestamp,sentence
D - Happy,0.3660,"00:04:14,296 --> 00:04:17,163","Help!"
E - Very Happy,0.0772,"00:04:14,296 --> 00:04:17,163","Help!"
A - Very Sad,0.1130,"00:04:14,296 --> 00:04:17,163","Help me, Zeke!"
B - Sad,0.3345,"00:04:14,296 --> 00:04:17,163","Help me, Zeke!"
C - Neutral,0.1215,"00:04:14,296 --> 00:04:17,163","Help me, Zeke!"
D - Happy,0.2684,"00:04:14,296 --> 00:04:17,163","Help me, Zeke!"
E - Very Happy,0.1626,"00:04:14,296 --> 00:04:17,163","Help me, Zeke!"
A - Very Sad,0.0711,"00:04:14,296 --> 00:04:17,163","Get me out of here!"
B - Sad,0.5880,"00:04:14,296 --> 00:04:17,163","Get me out of here!"
C - Neutral,0.2964,"00:04:14,296 --> 00:04:17,163","Get me out of here!"
D - Happy,0.0345,"00:04:14,296 --> 00:04:17,163","Get me out of here!"
E - Very Happy,0.0100,"00:04:14,296 --> 00:04:17,163","Get me out of here!"
A - Very Sad,0.0207,"00:04:17,424 --> 00:04:19,085","Help!"
B - Sad,0.0804,"00:04:17,424 --> 00:04:19,085","Help!"
C - Neutral,0.4557,"00:04:17,424 --> 00:04:19,085","Help!"
D - Happy,0.3660,"00:04:17,424 --> 00:04:19,085","Help!"
E - Very Happy,0.0772,"00:04:17,424 --> 00:04:19,085","Help!"
A - Very Sad,0.0011,"00:04:19,342 --> 00:04:20,832","Oh!"
B - Sad,0.0059,"00:04:19,342 --> 00:04:20,832","Oh!"
C - Neutral,0.8392,"00:04:19,342 --> 00:04:20,832","Oh!"
D - Happy,0.1465,"00:04:19,342 --> 00:04:20,832","Oh!"
E - Very Happy,0.0073,"00:04:19,342 --> 00:04:20,832","Oh!"
A - Very Sad,0.0011,"00:04:19,342 --> 00:04:20,832","Oh!"
B - Sad,0.0059,"00:04:19,342 --> 00:04:20,832","Oh!"
C - Neutral,0.8392,"00:04:19,342 --> 00:04:20,832","Oh!"
D - Happy,0.1465,"00:04:19,342 --> 00:04:20,832","Oh!"
E - Very Happy,0.0073,"00:04:19,342 --> 00:04:20,832","Oh!"
A - Very Sad,0.0422,"00:04:21,094 --> 00:04:24,303","HICKORY: Are you all right, Dorothy?"
B - Sad,0.2254,"00:04:21,094 --> 00:04:24,303","HICKORY: Are you all right, Dorothy?"
C - Neutral,0.3546,"00:04:21,094 --> 00:04:24,303","HICKORY: Are you all right, Dorothy?"
D - Happy,0.3188,"00:04:21,094 --> 00:04:24,303","HICKORY: Are you all right, Dorothy?"
